168;Александр Новиков;Авторская песня, Шансон;Жанр
169;Александр Розенбаум;Авторская песня, Шансон;Жанр
170;Александр Рыбак;Авторская песня, Шансон;Жанр
171;Алексей Понамарёв;Авторская песня, Шансон;Жанр
172;Андрей Губин;Авторская песня, Шансон;Жанр
173;Антоха МС;Авторская песня, Шансон;Жанр
174;Аркадий Кобяков;Авторская песня, Шансон;Жанр
175;Бутырка;Авторская песня, Шансон;Жанр
176;Валентин Стрыкало;Авторская песня, Шансон;Жанр
177;Вася Обломов;Авторская песня, Шансон;Жанр
178;Вика Цыганова;Авторская песня, Шансон;Жанр
179;Виктор Резников;Авторская песня, Шансон;Жанр
180;Вилли Токарев;Авторская песня, Шансон;Жанр
181;Владимир Высоцкий;Авторская песня, Шансон;Жанр
182;Вячеслав Добрынин;Авторская песня, Шансон;Жанр
183;Гречка;Авторская песня, Шансон;Жанр
184;Григорий Лепс;Авторская песня, Шансон;Жанр
185;Денис Майданов;Авторская песня, Шансон;Жанр
186;Дора;Авторская песня, Шансон;Жанр
187;Дюна;Авторская песня, Шансон;Жанр
188;Евгений Осин;Авторская песня, Шансон;Жанр
189;Елена Ваенга;Авторская песня, Шансон;Жанр
190;Жека;Авторская песня, Шансон;Жанр
191;Жуки;Авторская песня, Шансон;Жанр
192;Игорь Корнелюк;Авторская песня, Шансон;Жанр
193;Игорь Николаев;Авторская песня, Шансон;Жанр
194;Игорь Тальков;Авторская песня, Шансон;Жанр
195;Ирина Дубцова;Авторская песня, Шансон;Жанр
196;Ленинград;Авторская песня, Шансон;Жанр
197;Леонид Агутин;Авторская песня, Шансон;Жанр
198;Лера Массква;Авторская песня, Шансон;Жанр
199;Лесоповал;Авторская песня, Шансон;Жанр
200;Любэ;Авторская песня, Шансон;Жанр
201;Максим Фадеев;Авторская песня, Шансон;Жанр
202;Михаил Бублик;Авторская песня, Шансон;Жанр
203;Михаил Круг;Авторская песня, Шансон;Жанр
204;Михаил Шуфутинский;Авторская песня, Шансон;Жанр
205;Михей и Джуманджи;Авторская песня, Шансон;Жанр
206;Монеточка;Авторская песня, Шансон;Жанр
207;Мурат Насыров;Авторская песня, Шансон;Жанр
208;Николай Воронов;Авторская песня, Шансон;Жанр
209;Олег Газманов;Авторская песня, Шансон;Жанр
210;Павел Воля;Авторская песня, Шансон;Жанр
211;Профессор Лебединский;Авторская песня, Шансон;Жанр
212;Родион Газманов;Авторская песня, Шансон;Жанр
213;Рождество;Авторская песня, Шансон;Жанр
214;Руслан Утюг;Авторская песня, Шансон;Жанр
215;Семён Слепаков;Авторская песня, Шансон;Жанр
216;Сергей Дружко;Авторская песня, Шансон;Жанр
217;Сергей Наговицын;Авторская песня, Шансон;Жанр
218;Сергей Трофимов;Авторская песня, Шансон;Жанр
219;Сосо Павлиашвили;Авторская песня, Шансон;Жанр
220;Стас Михайлов;Авторская песня, Шансон;Жанр
221;Тима Белорусских;Авторская песня, Шансон;Жанр
222;Фёдор Иванович Шаляпин;Авторская песня, Шансон;Жанр
223;Юрий Антонов;Авторская песня, Шансон;Жанр
224;Юрий Лоза;Авторская песня, Шансон;Жанр
225;12 Stones;Альтернатива, Инди;Жанр
226;311;Альтернатива, Инди;Жанр
227;3 Doors Down;Альтернатива, Инди;Жанр
228;4 Non Blondes;Альтернатива, Инди;Жанр
229;54-40;Альтернатива, Инди;Жанр
230;7Б;Альтернатива, Инди;Жанр
231;Alice In Chains;Альтернатива, Инди;Жанр
232;alt-J;Альтернатива, Инди;Жанр
233;Animal ДжаZ;Альтернатива, Инди;Жанр
234;Arcade Fire;Альтернатива, Инди;Жанр
235;Arctic Monkeys;Альтернатива, Инди;Жанр
236;ASIAN KUNG-FU GENERATION;Альтернатива, Инди;Жанр
237;Band of Horses;Альтернатива, Инди;Жанр
238;Ben Folds Five;Альтернатива, Инди;Жанр
239;Biting Elbows;Альтернатива, Инди;Жанр
240;Black Rebel Motorcycle Club;Альтернатива, Инди;Жанр
241;Blonde Redhead;Альтернатива, Инди;Жанр
242;Blue October;Альтернатива, Инди;Жанр
243;Blur;Альтернатива, Инди;Жанр
244;Bon Iver;Альтернатива, Инди;Жанр
245;BrainStorm;Альтернатива, Инди;Жанр
246;Brother Cane;Альтернатива, Инди;Жанр
247;Buckcherry;Альтернатива, Инди;Жанр
248;Bush;Альтернатива, Инди;Жанр
249;Butthole Surfers;Альтернатива, Инди;Жанр
250;Cage The Elephant;Альтернатива, Инди;Жанр
251;Chase Atlantic;Альтернатива, Инди;Жанр
252;Cherry Ghost;Альтернатива, Инди;Жанр
253;Cigarettes After Sex;Альтернатива, Инди;Жанр
254;Cinema Bizarre;Альтернатива, Инди;Жанр
255;Coldplay;Альтернатива, Инди;Жанр
256;Collective Soul;Альтернатива, Инди;Жанр
257;Counting Crows;Альтернатива, Инди;Жанр
258;Course Of Nature;Альтернатива, Инди;Жанр
259;Creed;Альтернатива, Инди;Жанр
260;Daughtry;Альтернатива, Инди;Жанр
261;Death Cab for Cutie;Альтернатива, Инди;Жанр
262;DIAMANTE;Альтернатива, Инди;Жанр
263;Ednaswap;Альтернатива, Инди;Жанр
264;Eels;Альтернатива, Инди;Жанр
265;Emphatic;Альтернатива, Инди;Жанр
266;Everclear;Альтернатива, Инди;Жанр
267;Fastball;Альтернатива, Инди;Жанр
268;Filter;Альтернатива, Инди;Жанр
269;Finger Eleven;Альтернатива, Инди;Жанр
270;Fitz and the Tantrums;Альтернатива, Инди;Жанр
271;Fleet Foxes;Альтернатива, Инди;Жанр
272;Florence + The Machine;Альтернатива, Инди;Жанр
273;Foals;Альтернатива, Инди;Жанр
274;Foo Fighters;Альтернатива, Инди;Жанр
275;Foster The People;Альтернатива, Инди;Жанр
276;Franz Ferdinand;Альтернатива, Инди;Жанр
277;Fun.;Альтернатива, Инди;Жанр
278;Garbage;Альтернатива, Инди;Жанр
279;Glass Animals;Альтернатива, Инди;Жанр
280;Goo Goo Dolls;Альтернатива, Инди;Жанр
281;Halestorm;Альтернатива, Инди;Жанр
282;Hinder;Альтернатива, Инди;Жанр
283;Hole;Альтернатива, Инди;Жанр
284;Hoobastank;Альтернатива, Инди;Жанр
285;Imagine Dragons;Альтернатива, Инди;Жанр
286;Incubus;Альтернатива, Инди;Жанр
287;Inhaler;Альтернатива, Инди;Жанр
288;Interpol;Альтернатива, Инди;Жанр
289;In The Valley Below;Альтернатива, Инди;Жанр
290;James;Альтернатива, Инди;Жанр
291;Jane Air;Альтернатива, Инди;Жанр
292;Jet;Альтернатива, Инди;Жанр
293;Joe 90;Альтернатива, Инди;Жанр
294;Kaiser Chiefs;Альтернатива, Инди;Жанр
295;KALEO;Альтернатива, Инди;Жанр
296;Kasabian;Альтернатива, Инди;Жанр
297;Keane;Альтернатива, Инди;Жанр
298;Kings Of Convenience;Альтернатива, Инди;Жанр
299;Kings Of Leon;Альтернатива, Инди;Жанр
300;Kodaline;Альтернатива, Инди;Жанр
301;KONGOS;Альтернатива, Инди;Жанр
302;Lifehouse;Альтернатива, Инди;Жанр
303;Lilly Wood & The Prick;Альтернатива, Инди;Жанр
304;Listener;Альтернатива, Инди;Жанр
305;Live;Альтернатива, Инди;Жанр
306;London Grammar;Альтернатива, Инди;Жанр
307;Lostprophets;Альтернатива, Инди;Жанр
308;Manchester Orchestra;Альтернатива, Инди;Жанр
309;Måneskin;Альтернатива, Инди;Жанр
310;Matchbox Twenty;Альтернатива, Инди;Жанр
311;Mercy Arms;Альтернатива, Инди;Жанр
312;Midnight Oil;Альтернатива, Инди;Жанр
313;Milky Chance;Альтернатива, Инди;Жанр
314;Modest Mouse;Альтернатива, Инди;Жанр
315;Moist;Альтернатива, Инди;Жанр
316;Morphine;Альтернатива, Инди;Жанр
317;Mother Love Bone;Альтернатива, Инди;Жанр
318;Mother Mother;Альтернатива, Инди;Жанр
319;Mudhoney;Альтернатива, Инди;Жанр
320;Mumford & Sons;Альтернатива, Инди;Жанр
321;Muse;Альтернатива, Инди;Жанр
